,Name,A ending?,"VowelEnding? (a, e, i, o, u,y)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","Sonorant ending? (m,n,ng,l,r)","Plosive ending? (p,b,t,d,k,g)","1st letter vowel? (a, e, i, o, u)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","1st letter sonorant? (m,n,l,r,w,y)","1st letter plosive? (p,b,t,d,k,g)",# of letters,Front Vowels,Back Vowels,"Total # of vowels (a, e, i, o, u)","# of fricatives (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of plosives  (p,b,t,d,k,g)",Gender,Category
0,advil,0,0,0,1,0,1,0,0,0,5,1,0,2,1,1,1,0,ANALGESICS
1,aleve,0,1,0,0,0,1,0,0,0,5,2,0,3,1,1,0,1,ANALGESICS
2,alliviax,0,0,0,0,0,1,0,0,0,8,2,0,4,1,2,0,1,ANALGESICS
3,analgen,0,0,0,1,0,1,0,0,0,7,1,0,3,0,3,1,0,ANALGESICS
4,arnicare,0,1,0,0,0,1,0,0,0,8,2,0,4,0,3,0,1,ANALGESICS
5,asteeza,1,1,0,0,0,1,0,0,0,7,1,0,4,2,0,1,1,ANALGESICS
6,ausanil,0,0,0,1,0,1,0,0,0,7,1,1,4,1,2,0,0,ANALGESICS
7,azo,0,1,0,0,0,1,0,0,0,3,0,1,2,1,0,0,1,ANALGESICS
8,bc,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,ANALGESICS
9,biofreeze,0,1,0,0,0,0,0,0,1,9,3,1,5,2,1,1,1,ANALGESICS
10,bufferin,0,0,0,1,0,0,0,0,1,8,2,1,3,2,2,1,0,ANALGESICS
11,buscapina,1,1,0,0,0,0,0,0,1,9,1,1,4,1,1,2,1,ANALGESICS
12,calmadol,0,0,0,1,0,0,0,0,0,8,0,1,3,0,3,1,0,ANALGESICS
13,diurex,0,0,0,0,0,0,0,0,1,6,2,1,3,0,1,1,1,ANALGESICS
14,equate,0,1,0,0,0,1,0,0,0,6,2,1,4,0,0,1,1,ANALGESICS
15,excedrin,0,0,0,1,0,1,0,0,0,8,3,0,3,0,2,1,0,ANALGESICS
16,fibromyalgia,1,1,0,0,0,0,1,0,0,12,2,1,5,1,4,2,1,ANALGESICS
17,flanax,0,0,0,0,0,0,1,0,0,6,0,0,2,1,2,0,1,ANALGESICS
18,glycomarine,0,1,0,0,0,0,0,0,1,11,2,1,4,0,5,1,1,ANALGESICS
19,goodys,0,0,1,0,0,0,0,0,1,6,0,1,2,1,1,2,0,ANALGESICS
20,hangover,0,0,0,1,0,0,0,0,0,8,1,1,3,1,2,1,0,ANALGESICS
21,kyutec,0,0,0,0,0,0,0,0,1,6,1,1,2,0,1,2,0,ANALGESICS
22,livia,1,1,0,0,0,0,0,1,0,5,2,0,3,1,1,0,1,ANALGESICS
23,migrastil,0,0,0,1,0,0,0,1,0,9,2,0,3,1,3,2,0,ANALGESICS
24,migrelief,0,0,1,0,0,0,0,1,0,9,3,0,4,1,3,1,1,ANALGESICS
25,motrin,0,0,0,1,0,0,0,1,0,6,1,1,2,0,3,1,0,ANALGESICS
26,naproxen,0,0,0,1,0,0,0,1,0,8,1,1,3,0,3,1,0,ANALGESICS
27,noxicare,0,1,0,0,0,0,0,1,0,8,2,1,4,0,2,0,1,ANALGESICS
28,pamprin,0,0,0,1,0,0,0,0,1,7,1,0,2,0,3,2,0,ANALGESICS
29,pediacare,0,1,0,0,0,0,0,0,1,9,3,0,5,0,1,2,1,ANALGESICS
30,persen,0,0,0,1,0,0,0,0,1,6,2,0,2,1,2,1,0,ANALGESICS
31,salonpas,0,0,1,0,0,0,1,0,0,8,0,1,3,2,2,1,0,ANALGESICS
32,stopain,0,0,0,1,0,0,1,0,0,7,1,1,3,1,1,2,0,ANALGESICS
33,synodrin,0,0,0,1,0,0,1,0,0,8,1,1,2,1,4,1,0,ANALGESICS
34,tylenol,0,0,0,1,0,0,0,0,1,7,1,1,2,0,4,1,0,ANALGESICS
35,vanquish,0,0,1,0,0,0,1,0,0,8,1,1,3,2,1,0,0,ANALGESICS
36,venaton,0,0,0,1,0,0,1,0,0,7,1,1,3,1,2,1,0,ANALGESICS
37,alfamino,0,1,0,0,0,1,0,0,0,8,1,1,4,1,3,0,1,BABY_FOODS
38,enfagrow,0,0,0,0,0,1,0,0,0,8,1,1,3,1,3,1,0,BABY_FOODS
39,enfamil,0,0,0,1,0,1,0,0,0,7,2,0,3,1,3,0,1,BABY_FOODS
40,gerber,0,0,0,1,0,0,0,0,1,6,2,0,2,0,2,2,0,BABY_FOODS
41,kabrita,1,1,0,0,0,0,0,0,1,7,1,0,3,0,1,3,1,BABY_FOODS
42,neocate,0,1,0,0,0,0,0,1,0,7,2,1,4,0,1,1,1,BABY_FOODS
43,nurturme,0,1,0,0,0,0,0,1,0,8,1,2,3,0,4,1,0,BABY_FOODS
44,similac,0,0,0,0,0,0,1,0,0,7,2,0,3,1,2,0,1,BABY_FOODS
45,sprout,0,0,0,0,1,0,1,0,0,6,0,1,2,1,1,2,0,BABY_FOODS
46,adidas,0,0,1,0,0,1,0,0,0,6,1,0,3,1,0,2,0,BASEBALL_EQUIPMENT
47,axe,0,1,0,0,0,1,0,0,0,3,1,0,2,0,0,0,1,BASEBALL_EQUIPMENT
48,demarini,0,1,0,0,0,0,0,0,1,8,3,0,4,0,3,1,1,BASEBALL_EQUIPMENT
49,easton,0,0,0,1,0,1,0,0,0,6,1,1,3,1,1,1,0,BASEBALL_EQUIPMENT
50,franklin,0,0,0,1,0,0,1,0,0,8,1,0,2,1,4,1,0,BASEBALL_EQUIPMENT
51,gloveworks,0,0,1,0,0,0,0,0,1,10,1,2,3,2,3,2,0,BASEBALL_EQUIPMENT
52,maxbp,0,0,0,0,1,0,0,1,0,5,0,0,1,0,1,2,0,BASEBALL_EQUIPMENT
53,miken,0,0,0,1,0,0,0,1,0,5,2,0,2,0,2,1,0,BASEBALL_EQUIPMENT
54,prorollers,0,0,1,0,0,0,0,0,1,10,1,2,3,1,5,1,0,BASEBALL_EQUIPMENT
55,rawlings,0,0,1,0,0,0,0,1,0,8,1,0,2,1,4,1,0,BASEBALL_EQUIPMENT
56,ssk,0,0,0,0,1,0,1,0,0,3,0,0,0,2,0,1,0,BASEBALL_EQUIPMENT
57,wilson,0,0,0,1,0,0,0,1,0,6,1,1,2,1,3,0,0,BASEBALL_EQUIPMENT
58,acura,1,1,0,0,0,1,0,0,0,5,0,1,3,0,1,0,1,CARS_TRUCKS
59,audi,0,1,0,0,0,1,0,0,0,4,1,1,3,0,0,1,0,CARS_TRUCKS
60,bentley,0,1,0,0,0,0,0,0,1,7,3,0,2,0,3,2,1,CARS_TRUCKS
61,bmw,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0,CARS_TRUCKS
62,buick,0,0,0,0,1,0,0,0,1,5,1,1,2,0,0,2,0,CARS_TRUCKS
63,cadillac,0,0,0,0,0,0,0,0,0,8,1,0,3,0,2,1,1,CARS_TRUCKS
64,chevrolet,0,0,0,0,1,0,1,0,0,9,2,1,3,2,2,1,0,CARS_TRUCKS
65,chrysler,0,0,0,1,0,0,1,0,0,8,1,0,1,2,4,0,1,CARS_TRUCKS
66,citroen,0,0,0,1,0,0,0,0,0,7,2,1,3,0,2,1,0,CARS_TRUCKS
67,dacia,1,1,0,0,0,0,0,0,1,5,1,0,3,0,0,1,1,CARS_TRUCKS
68,datsun,0,0,0,1,0,0,0,0,1,6,0,1,2,1,1,2,0,CARS_TRUCKS
69,dodge,0,1,1,0,0,0,0,0,1,5,1,1,2,0,0,3,0,CARS_TRUCKS
70,ferrari,0,1,0,0,0,0,1,0,0,7,2,0,3,1,3,0,1,CARS_TRUCKS
71,fiat,0,0,0,0,1,0,1,0,0,4,1,0,2,1,0,1,0,CARS_TRUCKS
72,ford,0,0,0,0,1,0,1,0,0,4,0,1,1,1,1,1,0,CARS_TRUCKS
73,genesis,0,0,1,0,0,0,0,0,1,7,3,0,3,2,1,1,0,CARS_TRUCKS
74,holden,0,0,0,1,0,0,0,0,0,6,1,1,2,0,2,1,0,CARS_TRUCKS
75,honda,1,1,0,0,0,0,0,0,0,5,0,1,2,0,1,1,1,CARS_TRUCKS
76,hyundai,0,1,0,0,0,0,0,0,0,7,1,1,3,0,2,1,1,CARS_TRUCKS
77,infiniti,0,1,0,0,0,1,0,0,0,8,4,0,4,1,2,1,1,CARS_TRUCKS
78,jaguar,0,0,0,1,0,0,1,0,0,6,0,1,3,1,1,1,0,CARS_TRUCKS
79,kia,1,1,0,0,0,0,0,0,1,3,1,0,2,0,0,1,1,CARS_TRUCKS
80,lexus,0,0,1,0,0,0,0,1,0,5,1,1,2,1,1,0,0,CARS_TRUCKS
81,lincoln,0,0,0,1,0,0,0,1,0,7,1,1,2,0,4,0,0,CARS_TRUCKS
82,maserati,0,1,0,0,0,0,0,1,0,8,2,0,4,1,2,1,1,CARS_TRUCKS
83,mazda,1,1,0,0,0,0,0,1,0,5,0,0,2,1,1,1,1,CARS_TRUCKS
84,mini,0,1,0,0,0,0,0,1,0,4,2,0,2,0,2,0,1,CARS_TRUCKS
85,mitsubishi,0,1,0,0,0,0,0,1,0,10,3,1,4,2,1,2,1,CARS_TRUCKS
86,nissan,0,0,0,1,0,0,0,1,0,6,1,0,2,2,2,0,0,CARS_TRUCKS
87,pagani,0,1,0,0,0,0,0,0,1,6,1,0,3,0,1,2,1,CARS_TRUCKS
88,peugeot,0,0,0,0,1,0,0,0,1,7,2,2,4,0,0,3,0,CARS_TRUCKS
89,porsche,0,1,0,0,0,0,0,0,1,7,1,1,2,2,1,1,1,CARS_TRUCKS
90,renault,0,0,0,0,1,0,0,1,0,7,1,1,3,0,3,1,0,CARS_TRUCKS
91,scion,0,0,0,1,0,0,1,0,0,5,1,1,2,1,1,0,0,CARS_TRUCKS
92,subaru,0,1,0,0,0,0,1,0,0,6,0,2,3,1,1,1,1,CARS_TRUCKS
93,suzuki,0,1,0,0,0,0,1,0,0,6,1,2,3,2,0,1,0,CARS_TRUCKS
94,tesla,1,1,0,0,0,0,0,0,1,5,1,0,2,1,1,1,1,CARS_TRUCKS
95,toyota,1,1,0,0,0,0,0,0,1,6,0,2,3,0,1,2,1,CARS_TRUCKS
96,vauxhall,0,0,0,1,0,0,1,0,0,8,0,1,3,1,2,0,0,CARS_TRUCKS
97,volkswagen,0,0,0,1,0,0,1,0,0,10,1,1,3,2,3,2,0,CARS_TRUCKS
98,volvo,0,1,0,0,0,0,1,0,0,5,0,2,2,2,1,0,0,CARS_TRUCKS
99,aerin,0,0,0,1,0,1,0,0,0,5,2,0,3,0,2,0,0,COSMETICS
100,allure,0,1,0,0,0,1,0,0,0,6,1,1,3,0,3,0,1,COSMETICS
101,almay,0,1,0,0,0,1,0,0,0,5,1,0,2,0,3,0,1,COSMETICS
102,alzeyna,1,1,0,0,0,1,0,0,0,7,1,0,3,1,3,0,1,COSMETICS
103,ambi,0,1,0,0,0,1,0,0,0,4,1,0,2,0,1,1,1,COSMETICS
104,anytime,0,1,0,0,0,1,0,0,0,7,2,0,3,0,3,1,1,COSMETICS
105,arbonne,0,1,0,0,0,1,0,0,0,7,1,1,3,0,3,1,1,COSMETICS
106,aritaum,0,0,0,1,0,1,0,0,0,7,1,1,4,0,2,1,0,COSMETICS
107,artistry,0,1,0,0,0,1,0,0,0,8,2,0,2,1,3,2,1,COSMETICS
108,aveda,1,1,0,0,0,1,0,0,0,5,1,0,3,1,0,1,1,COSMETICS
109,aveeno,0,1,0,0,0,1,0,0,0,6,1,1,4,1,1,0,1,COSMETICS
110,avon,0,0,0,1,0,1,0,0,0,4,0,1,2,1,1,0,0,COSMETICS
111,bareminerals,0,0,1,0,0,0,0,0,1,12,3,0,5,1,5,1,1,COSMETICS
112,beaucream,0,0,0,1,0,0,0,0,1,9,2,1,5,0,2,1,0,COSMETICS
113,beautyducts,0,0,1,0,0,0,0,0,1,11,1,2,4,1,1,4,0,COSMETICS
114,bezmyne,0,1,0,0,0,0,0,0,1,7,2,0,2,1,3,1,1,COSMETICS
115,biancey,0,1,0,0,0,0,0,0,1,7,3,0,3,0,2,1,1,COSMETICS
116,biotherm,0,0,0,1,0,0,0,0,1,8,2,1,3,1,2,2,0,COSMETICS
117,bodyography,0,1,0,0,0,0,0,0,1,11,1,2,3,0,3,4,0,COSMETICS
118,botanics,0,0,1,0,0,0,0,0,1,8,1,1,3,1,1,2,0,COSMETICS
119,brivmay,0,1,0,0,0,0,0,0,1,7,2,0,2,1,3,1,1,COSMETICS
120,burberry,0,1,0,0,0,0,0,0,1,8,2,1,2,0,4,2,1,COSMETICS
121,buxom,0,0,0,1,0,0,0,0,1,5,0,2,2,0,1,1,0,COSMETICS
122,caroia,1,1,0,0,0,0,0,0,0,6,1,1,4,0,1,0,1,COSMETICS
123,catrice,0,1,0,0,0,0,0,0,0,7,2,0,3,0,1,1,1,COSMETICS
124,chanel,0,0,0,1,0,0,1,0,0,6,1,0,2,1,2,0,0,COSMETICS
125,cilsfrance,0,1,0,0,0,0,0,0,0,10,2,0,3,2,3,0,1,COSMETICS
126,clarins,0,0,1,0,0,0,0,0,0,7,1,0,2,1,3,0,0,COSMETICS
127,clinique,0,1,0,0,0,0,0,0,0,8,3,1,4,0,2,0,1,COSMETICS
128,clio,0,1,0,0,0,0,0,0,0,4,1,1,2,0,1,0,0,COSMETICS
129,colorescience,0,1,0,0,0,0,0,0,0,13,3,2,6,1,3,0,1,COSMETICS
130,colourpop,0,0,0,0,1,0,0,0,0,9,0,3,4,0,2,2,0,COSMETICS
131,coty,0,1,0,0,0,0,0,0,0,4,1,1,1,0,1,1,0,COSMETICS
132,darieu,0,1,0,0,0,0,0,0,1,6,1,1,4,0,1,1,1,COSMETICS
133,dax,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,COSMETICS
134,dekliderm,0,0,0,1,0,0,0,0,1,9,3,0,3,0,3,3,0,COSMETICS
135,dermablend,0,0,0,0,1,0,0,0,1,10,2,0,3,0,4,3,0,COSMETICS
136,dermalox,0,0,0,0,0,0,0,0,1,8,1,1,3,0,3,1,1,COSMETICS
137,dinair,0,0,0,1,0,0,0,0,1,6,2,0,3,0,2,1,0,COSMETICS
138,dior,0,0,0,1,0,0,0,0,1,4,1,1,2,0,1,1,0,COSMETICS
139,dove,0,1,0,0,0,0,0,0,1,4,1,1,2,1,0,1,0,COSMETICS
140,ecotools,0,0,1,0,0,1,0,0,0,8,1,2,4,1,1,1,0,COSMETICS
141,elf,0,0,1,0,0,1,0,0,0,3,1,0,1,1,1,0,0,COSMETICS
142,espa,1,1,0,0,0,1,0,0,0,4,1,0,2,1,0,1,1,COSMETICS
143,essie,0,1,0,0,0,1,0,0,0,5,2,0,3,2,0,0,1,COSMETICS
144,flirt,0,0,0,0,1,0,1,0,0,5,1,0,1,1,2,1,0,COSMETICS
145,foreo,0,1,0,0,0,0,1,0,0,5,1,2,3,1,1,0,0,COSMETICS
146,fortunaye,0,1,0,0,0,0,1,0,0,9,1,2,4,1,3,1,0,COSMETICS
147,fullips,0,0,1,0,0,0,1,0,0,7,1,1,2,2,2,1,0,COSMETICS
148,glamalor,0,0,0,1,0,0,0,0,1,8,0,1,3,0,4,1,0,COSMETICS
149,glamglow,0,0,0,0,0,0,0,0,1,8,0,1,2,0,4,2,1,COSMETICS
150,gucci,0,1,0,0,0,0,0,0,1,5,1,1,2,0,0,1,0,COSMETICS
151,guerlain,0,0,0,1,0,0,0,0,1,8,2,1,4,0,3,1,0,COSMETICS
152,healthbeauto,0,1,0,0,0,0,0,0,0,12,2,2,6,1,1,3,0,COSMETICS
153,ifirmation,0,0,0,1,0,1,0,0,0,10,3,1,5,1,3,1,0,COSMETICS
154,jafra,1,1,0,0,0,0,1,0,0,5,0,0,2,2,1,0,1,COSMETICS
155,jane,0,1,0,0,0,0,1,0,0,4,1,0,2,1,1,0,1,COSMETICS
156,jergens,0,0,1,0,0,0,1,0,0,7,2,0,2,2,2,1,0,COSMETICS
157,julep,0,0,0,0,1,0,1,0,0,5,1,1,2,1,1,1,0,COSMETICS
158,korres,0,0,1,0,0,0,0,0,1,6,1,1,2,1,2,1,0,COSMETICS
159,lancome,0,1,0,0,0,0,0,1,0,7,1,1,3,0,3,0,1,COSMETICS
160,lorac,0,0,0,0,0,0,0,1,0,5,0,1,2,0,2,0,1,COSMETICS
161,lotus,0,0,1,0,0,0,0,1,0,5,0,2,2,1,1,1,0,COSMETICS
162,lubriderm,0,0,0,1,0,0,0,1,0,9,2,1,3,0,4,2,0,COSMETICS
163,lush,0,0,1,0,0,0,0,1,0,4,0,1,1,1,1,0,0,COSMETICS
164,lyrei,0,1,0,0,0,0,0,1,0,5,1,0,2,0,3,0,1,COSMETICS
165,mac,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,0,COSMETICS
166,manhattan,0,0,0,1,0,0,0,1,0,9,0,0,3,0,3,2,0,COSMETICS
167,milani,0,1,0,0,0,0,0,1,0,6,2,0,3,0,3,0,1,COSMETICS
168,monteil,0,0,0,1,0,0,0,1,0,7,1,1,3,0,3,1,0,COSMETICS
169,mychelle,0,1,0,0,0,0,0,1,0,8,2,0,2,1,4,0,1,COSMETICS
170,nars,0,0,1,0,0,0,0,1,0,4,0,0,1,1,2,0,0,COSMETICS
171,natura,1,1,0,0,0,0,0,1,0,6,0,1,3,0,2,1,1,COSMETICS
172,neova,1,1,0,0,0,0,0,1,0,5,1,1,3,1,1,0,1,COSMETICS
173,neutrogena,1,1,0,0,0,0,0,1,0,10,2,2,5,0,3,2,1,COSMETICS
174,nexacell,0,0,0,1,0,0,0,1,0,8,2,0,3,0,3,0,1,COSMETICS
175,novalash,0,0,1,0,0,0,0,1,0,8,0,1,3,2,2,0,0,COSMETICS
176,nyx,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,COSMETICS
177,ofra,1,1,0,0,0,1,0,0,0,4,0,1,2,1,1,0,1,COSMETICS
178,olay,0,1,0,0,0,1,0,0,0,4,1,1,2,0,2,0,1,COSMETICS
179,omorovicza,1,1,0,0,0,1,0,0,0,10,1,3,5,2,2,0,1,COSMETICS
180,oribe,0,1,0,0,0,1,0,0,0,5,2,1,3,0,1,1,0,COSMETICS
181,origins,0,0,1,0,0,1,0,0,0,7,2,1,3,1,2,1,0,COSMETICS
182,orlane,0,1,0,0,0,1,0,0,0,6,1,1,3,0,3,0,1,COSMETICS
183,physicians,0,0,1,0,0,0,0,0,1,10,2,0,3,2,2,1,0,COSMETICS
184,plumderma,1,1,0,0,0,0,0,0,1,9,1,1,3,0,4,2,1,COSMETICS
185,prescriptives,0,0,1,0,0,0,0,0,1,13,4,0,4,3,2,3,0,COSMETICS
186,proskin,0,0,0,1,0,0,0,0,1,7,1,1,2,1,2,2,0,COSMETICS
187,repechage,0,1,0,0,0,0,0,1,0,9,3,0,4,1,1,2,1,COSMETICS
188,revlon,0,0,0,1,0,0,0,1,0,6,1,1,2,1,3,0,0,COSMETICS
189,rimmel,0,0,0,1,0,0,0,1,0,6,2,0,2,0,4,0,0,COSMETICS
190,sarantis,0,0,1,0,0,0,1,0,0,8,1,0,3,2,2,1,0,COSMETICS
191,shiseido,0,1,0,0,0,0,1,0,0,8,2,1,4,2,0,1,0,COSMETICS
192,sidasta,1,1,0,0,0,0,1,0,0,7,1,0,3,2,0,2,1,COSMETICS
193,skinnight,0,0,0,0,1,0,1,0,0,9,2,0,2,1,2,3,0,COSMETICS
194,smashbox,0,0,0,0,0,0,1,0,0,8,0,1,2,2,1,1,0,COSMETICS
195,stila,1,1,0,0,0,0,1,0,0,5,1,0,2,1,1,1,1,COSMETICS
196,stowaway,0,1,0,0,0,0,1,0,0,8,1,1,3,1,3,1,1,COSMETICS
197,taras,0,0,1,0,0,0,0,0,1,5,0,0,2,1,1,1,0,COSMETICS
198,tarte,0,1,0,0,0,0,0,0,1,5,1,0,2,0,1,2,1,COSMETICS
199,trestique,0,1,0,0,0,0,0,0,1,9,3,1,4,1,1,2,1,COSMETICS
200,tribetats,0,0,1,0,0,0,0,0,1,9,2,0,3,1,1,4,0,COSMETICS
201,tritats,0,0,1,0,0,0,0,0,1,7,1,0,2,1,1,3,0,COSMETICS
202,trydermavie,0,1,0,0,0,0,0,0,1,11,2,0,4,1,4,2,1,COSMETICS
203,tweezerman,0,0,0,1,0,0,0,0,1,10,2,0,4,1,4,1,0,COSMETICS
204,tyra,1,1,0,0,0,0,0,0,1,4,0,0,1,0,2,1,1,COSMETICS
205,ulta,1,1,0,0,0,1,0,0,0,4,0,1,2,0,1,1,1,COSMETICS
206,unilever,0,0,0,1,0,1,0,0,0,8,3,1,4,1,3,0,0,COSMETICS
207,vichy,0,1,0,0,0,0,1,0,0,5,2,0,1,2,1,0,1,COSMETICS
208,xxv,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,COSMETICS
209,yourbeautyderm,0,0,0,1,0,0,0,1,0,14,2,2,6,0,5,3,0,COSMETICS
210,yuni,0,1,0,0,0,0,0,1,0,4,1,1,2,0,2,0,1,COSMETICS
211,zenjenskin,0,0,0,1,0,0,1,0,0,10,3,0,3,3,3,1,0,COSMETICS
212,aarp,0,0,0,0,1,1,0,0,0,4,0,0,2,0,1,1,0,FINANCIAL_SERVICES
213,amazon,0,0,0,1,0,1,0,0,0,6,0,1,3,1,2,0,0,FINANCIAL_SERVICES
214,artoken,0,0,0,1,0,1,0,0,0,7,1,1,3,0,2,2,0,FINANCIAL_SERVICES
215,bankrate,0,1,0,0,0,0,0,0,1,8,1,0,3,0,2,3,1,FINANCIAL_SERVICES
216,bitconcept,0,0,0,0,1,0,0,0,1,10,2,1,3,0,1,4,0,FINANCIAL_SERVICES
217,bitcosmos,0,0,1,0,0,0,0,0,1,9,1,2,3,2,1,2,0,FINANCIAL_SERVICES
218,bitquick,0,0,0,0,1,0,0,0,1,8,2,1,3,0,0,3,0,FINANCIAL_SERVICES
219,bitstrades,0,0,1,0,0,0,0,0,1,10,2,0,3,2,1,4,0,FINANCIAL_SERVICES
220,bittank,0,0,0,0,1,0,0,0,1,7,1,0,2,0,1,4,0,FINANCIAL_SERVICES
221,boscoin,0,0,0,1,0,0,0,0,1,7,1,2,3,1,1,1,0,FINANCIAL_SERVICES
222,brickblock,0,0,0,0,1,0,0,0,1,10,1,1,2,0,2,4,0,FINANCIAL_SERVICES
223,coinmama,1,1,0,0,0,0,0,0,0,8,1,1,4,0,3,0,1,FINANCIAL_SERVICES
224,compcoin,0,0,0,1,0,0,0,0,0,8,1,2,3,0,2,1,0,FINANCIAL_SERVICES
225,crypterium,0,0,0,1,0,0,0,0,0,10,2,1,3,0,4,2,0,FINANCIAL_SERVICES
226,currencyliquidator,0,0,0,1,0,0,0,0,0,18,3,3,7,0,6,2,0,FINANCIAL_SERVICES
227,ecocoins,0,0,1,0,0,1,0,0,0,8,2,2,4,1,1,0,0,FINANCIAL_SERVICES
228,eroscoin,0,0,0,1,0,1,0,0,0,8,2,2,4,1,2,0,0,FINANCIAL_SERVICES
229,evr,0,0,0,1,0,1,0,0,0,3,1,0,1,1,1,0,0,FINANCIAL_SERVICES
230,finney,0,1,0,0,0,0,1,0,0,6,3,0,2,1,3,0,1,FINANCIAL_SERVICES
231,fortrade,0,1,0,0,0,0,1,0,0,8,1,1,3,1,2,2,1,FINANCIAL_SERVICES
232,goldmint,0,0,0,0,1,0,0,0,1,8,1,1,2,0,3,3,0,FINANCIAL_SERVICES
233,herocoin,0,0,0,1,0,0,0,0,0,8,2,2,4,0,2,0,0,FINANCIAL_SERVICES
234,kencoin,0,0,0,1,0,0,0,0,1,7,2,1,3,0,2,1,0,FINANCIAL_SERVICES
235,kexcoin,0,0,0,1,0,0,0,0,1,7,2,1,3,0,1,1,0,FINANCIAL_SERVICES
236,kin,0,0,0,1,0,0,0,0,1,3,1,0,1,0,1,1,0,FINANCIAL_SERVICES
237,kitcoin,0,0,0,1,0,0,0,0,1,7,2,1,3,0,1,2,0,FINANCIAL_SERVICES
238,maincoin,0,0,0,1,0,0,0,1,0,8,2,1,4,0,3,0,0,FINANCIAL_SERVICES
239,megamine,0,1,0,0,0,0,0,1,0,8,3,0,4,0,3,1,1,FINANCIAL_SERVICES
240,meridian,0,0,0,1,0,0,0,1,0,8,3,0,4,0,3,1,1,FINANCIAL_SERVICES
241,mtfx,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,1,0,FINANCIAL_SERVICES
242,nametoken,0,0,0,1,0,0,0,1,0,9,2,1,4,0,3,2,0,FINANCIAL_SERVICES
243,ofx,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,0,FINANCIAL_SERVICES
244,paycent,0,0,0,0,1,0,0,0,1,7,1,0,2,0,2,2,0,FINANCIAL_SERVICES
245,paysafe,0,1,0,0,0,0,0,0,1,7,1,0,3,2,1,1,1,FINANCIAL_SERVICES
246,pendo,0,1,0,0,0,0,0,0,1,5,1,1,2,0,1,2,0,FINANCIAL_SERVICES
247,proequities,0,0,1,0,0,0,0,0,1,11,3,2,6,1,1,2,0,FINANCIAL_SERVICES
248,qvolta,1,1,0,0,0,0,0,0,0,6,0,1,2,1,1,1,1,FINANCIAL_SERVICES
249,recoin,0,0,0,1,0,0,0,1,0,6,2,1,3,0,2,0,0,FINANCIAL_SERVICES
250,rollmycoin,0,0,0,1,0,0,0,1,0,10,1,2,3,0,6,0,0,FINANCIAL_SERVICES
251,skincoin,0,0,0,1,0,0,1,0,0,8,2,1,3,1,2,1,0,FINANCIAL_SERVICES
252,smartmoney,0,1,0,0,0,0,1,0,0,10,2,1,3,1,5,1,1,FINANCIAL_SERVICES
253,sprig,0,0,0,0,1,0,1,0,0,5,1,0,1,1,1,2,0,FINANCIAL_SERVICES
254,tokendesk,0,0,0,0,1,0,0,0,1,9,2,1,3,1,1,4,0,FINANCIAL_SERVICES
255,tokenstars,0,0,1,0,0,0,0,0,1,10,1,1,3,2,2,3,0,FINANCIAL_SERVICES
256,usforex,0,0,0,0,0,1,0,0,0,7,1,2,3,2,1,0,0,FINANCIAL_SERVICES
257,adrenaline,0,1,0,0,0,1,0,0,0,10,3,0,5,0,4,1,1,BBQ
258,denmark,0,0,0,0,1,0,0,0,1,7,1,0,2,0,3,2,0,BBQ
259,kalamazoo,0,1,0,0,0,0,0,0,1,9,0,1,5,1,2,1,1,BBQ
260,kingsford,0,0,0,0,1,0,0,0,1,9,1,1,2,2,2,3,0,BBQ
261,texas,0,0,1,0,0,0,0,0,1,5,1,0,2,1,0,1,0,BBQ
262,weber,0,0,0,1,0,0,0,1,0,5,2,0,2,0,2,1,0,BBQ
263,agebeautiful,0,0,0,1,0,1,0,0,0,12,3,2,7,1,1,3,0,HAIR_PRODUCTS
264,alfaparf,0,0,1,0,0,1,0,0,0,8,0,0,3,2,2,1,0,HAIR_PRODUCTS
265,aveda,1,1,0,0,0,1,0,0,0,5,1,0,3,1,0,1,1,HAIR_PRODUCTS
266,avena,1,1,0,0,0,1,0,0,0,5,1,0,3,1,1,0,1,HAIR_PRODUCTS
267,bigen,0,0,0,1,0,0,0,0,1,5,2,0,2,0,1,2,0,HAIR_PRODUCTS
268,chromasilk,0,0,0,0,1,0,1,0,0,10,1,1,3,2,3,1,0,HAIR_PRODUCTS
269,clairol,0,0,0,1,0,0,0,0,0,7,1,1,3,0,3,0,0,HAIR_PRODUCTS
270,colordesign,0,0,0,1,0,0,0,0,0,11,2,2,4,1,3,2,0,HAIR_PRODUCTS
271,colorphlex,0,0,0,0,0,0,0,0,0,10,1,2,3,0,3,1,0,HAIR_PRODUCTS
272,colorproof,0,0,1,0,0,0,0,0,0,10,0,3,4,1,3,1,0,HAIR_PRODUCTS
